47,delux,Deluxe Mouse,This delux mouse is every bit decorative as it is functional,Accessories,Peripherals and Accessories,1,0,40,49.99,10,20,
30,iphonezoom,iPhone Camera Zoom Lense ,iPhone Camera Zoom Lense ,Camera,Photo,0,1,40,250,7,17,
18,bag,Envoy Bag,Give your everyday laptop bag a sense of style,Accessories,Software/Other,1,0,99.99,99.99,22,32,
48,watch,Premium Sonar Watch,Premium Sonar Watch,Watches,Watches,0,1,1888.99,1888.99,5,15,
42,key1,Envoy External Keyboard,Envoy External Keyboard,Accessories,Peripherals and Accessories,0,0,39.99,39.99,33,43,
23,key2,External 101-key keyboard,External 101-key keyboard,Accessories,Software/Other,0,0,49.99,49.99,4,14,
41,Projector,iPhone portable projector,iPhone portable projector,Projectors,Peripherals and Accessories,0,1,89.99,89.99,7,17,
19,bag,Laptop carrying case,Laptop carrying case,Accessories,Software/Other,1,0,89,89,6,16,
27,gg,Google Glasses,Google Glasses,Accessories,Peripherals and Accessories,0,1,1340,1340,5,15,
32,penguin,"Penguin speakers- 5"" cones",A fun idea for a great product,Accessories,Peripherals and Accessories,1,0,40,44.99,99,109,
46,plain,Standard Mouse,A basic mouse but still does the job,Accessories,Peripherals and Accessories,0,0,18.99,18.99,2,12,
17,cam,"Mini DV Camcorder with 3.5"" Swivel LCD","Mini DV Camcorder with 3.5"" Swivel LCD",Camcorders,Photo,0,1,450,499.99,13,23,
36,drive1,Envoy External 6X CD-ROM,Envoy External 6X CD-ROM,CD-ROM,Peripherals and Accessories,0,0,11.99,11.99,35,45,
37,drive1,Envoy External 8X CD-ROM,Envoy External 8X CD-ROM,CD-ROM,Peripherals and Accessories,0,0,22.99,22.99,4,14,
34,drive4,External 6X CD-ROM,External 6X CD-ROM,CD-ROM,Peripherals and Accessories,0,0,50,50,4,14,
35,drive4,External 8X CD-ROM,External 8X CD-ROM,CD-ROM,Peripherals and Accessories,0,0,50,50,5,55,
38,internal,Internal 6X CD-ROM,Internal 6X CD-ROM,CD-ROM,Peripherals and Accessories,0,0,18.99,18.99,5,25,
39,internal,Internal 8X CD-ROM,Internal 8X CD-ROM,CD-ROM,Peripherals and Accessories,0,0,8.99,8.99,3,10,
45,o3,Oracle Mannual ,Oracle Mannual ,Documentation,Software/Other,0,0,10.99,10.99,8,20,
44,o1,Oracle Mannual  - Italian,Oracle Mannual  - Italian,Documentation,Software/Other,0,0,6.99,6.99,9,19,
43,o4,Oracle Mannual  - Spanish,Oracle Mannual  - Spanish,Documentation,Software/Other,0,0,6.99,6.99,8,18,
42,o3,Oracle Mannual - French,Oracle Mannual - French,Documentation,Software/Other,0,0,7.99,7.99,7,20,
40,o2,Oracle PLSQL Mannual,Oracle PLSQL Mannual,Documentation,Software/Other,0,0,11.99,11.99,7,20,
29,towerspeakers,8.3 Minitower Speaker,8.3 Minitower Speaker,Home Audio,Electronics,1,0,44.99,44.99,6,20,
20,home,Home Theatre Package with DVD-Audio/Video Play,Home Theatre Package with DVD-Audio/Video Play,Home Audio,Electronics,0,1,690,690,5,15,
26,simm,SIMM- 16MB PCMCIAII card,SIMM- 16MB PCMCIAII card,Memory,Peripherals and Accessories,0,0,29.99,29.99,4,14,
25,simm,SIMM- 8MB PCMCIAII card,SIMM- 8MB PCMCIAII card,Memory,Peripherals and Accessories,0,0,54.99,54.99,3,10,
33,modem,Modem,Modem,Modems/Fax,Peripherals and Accessories,0,0,40,44.99,3,10,
24,fax,Modem/fax 28800 baud,Modem/fax 28800 baud,Modems/Fax,Peripherals and Accessories,1,0,44.99,44.99,2,10,
14,tv,"17"" LCD w/built-in HDTV Tuner","17"" LCD w/built-in HDTV Tuner",Monitors,Peripherals and Accessories,0,0,120,149.99,2,10,
21,tv,"18"" Flat Panel Graphics Monitor","18"" Flat Panel Graphics Monitor",Monitors,Peripherals and Accessories,0,1,44.99,44.99,2,12,
113,cd,CD-R Mini Discs,CD-R Mini Discs,Recordable CDs,Software/Other,0,0,15.99,15.99,3,13,
119,cd,CD-R with Jewel Cases Pack of 12,CD-R with Jewel Cases Pack of 12,Recordable CDs,Software/Other,1,0,20,23,4,14,
117,cd,CD-R Professional Grade Pack of 10,CD-R Professional Grade Pack of 10,Recordable CDs,Software/Other,0,0,22,22,4,14,
116,cd2,CD-RW High Speed Pack of 5,CD-RW High Speed Pack of 5,Recordable CDs,Software/Other,0,0,25,25,5,15,
115,cd2,CD-RW High Speed Pack of 10,CD-RW High Speed Pack of 10,Recordable CDs,Software/Other,0,0,25,25,5,15,
114,cd,Music CD-R,Music CD-R,Recordable CDs,Software/Other,0,0,28.99,28.99,5,15,
118,cd,OraMusic CD-R Pack of 10,OraMusic CD-R Pack of 10,Recordable CDs,Software/Other,0,0,20,23,6,16,
120,dvd,DVD-R Disc with Jewel Case 4.7 GB,DVD-R Disc with Jewel Case 4.7 GB,Recordable DVD Discs,Software/Other,0,0,20,23,100,150,
122,dvd,DVD-R Discs 4.7GB Pack of 5,DVD-R Discs 4.7GB Pack of 5,Recordable DVD Discs,Software/Other,0,0,30,33,100,150,
